正體字形,簡化字形,音序,臺／陸特有詞,臺／陸特有音,臺灣音讀,臺灣漢拼,大陸音讀,大陸漢拼
,滵,,,,,,ㄇ丨ˋ,mì
,蜜,,,,,,ㄇㄧˋ,mì
蜜蟲,蜜虫,,,,,,ㄇㄧˋ ㄔㄨㄥˊ,mìchónɡ
,蜜蜂,,,,,,ㄇㄧˋ ㄈㄥ,mìfēnɡ
蜜餞,蜜饯,,,,,,ㄇㄧˋ ㄐㄧㄢˋ,mìjiàn
,蜜色,,,,,,ㄇㄧˋ ㄙㄜˋ,mìsè
蜜糖,蜜糖,,,,,,ㄇㄧˋ ㄊㄤˊ,mìtánɡ
蜜桃,蜜桃,,,,,,ㄇㄧˋ ㄊㄠˊ,mìtáo
蜜丸,蜜丸,,,,,,ㄇㄧˋ ㄨㄢˊ,mìwán
蜜腺,蜜腺,,,,,,ㄇㄧˋ ㄒㄧㄢˋ,mìxiàn
蜜源,蜜源,,,,,,ㄇㄧˋ ㄩㄢˊ,mìyuán
,蜜月,,,,,,ㄇㄧˋ ㄩㄝˋ,mìyuè
蜜棗,蜜枣,,,,,,ㄇㄧˋ ㄗㄠˇ,mìzǎo
蜜汁,蜜汁,,,,,,ㄇㄧˋ ㄓ,mìzhī
,幦,,,,,,ㄇ丨ˋ,mì
,眠,,,,,,ㄇㄧㄢˊ,mián
綿,绵,,,,,,ㄇㄧㄢˊ,mián
綿薄,绵薄,,,,,,ㄇㄧㄢˊ ㄅㄛˊ,miánbó
綿長,绵长,,,,,,ㄇㄧㄢˊ ㄔㄤˊ,miánchánɡ
綿亙,绵亘,,,,,,ㄇㄧㄢˊ ㄍㄣˋ,miánɡèn
綿和,绵和,,,,,,ㄇㄧㄢˊ ㄏㄜˊ,miánhé
綿裡藏針,绵里藏针,,,,,,ㄇㄧㄢˊ ㄌㄧˇ ㄘㄤˊ ㄓㄣ,miánlǐ-cánɡzhēn
綿裡針,绵里针,,,,,,ㄇㄧㄢˊ ㄌㄧˇ ㄓㄣ,miánlǐzhēn
綿密,绵密,,,,,,ㄇㄧㄢˊ ㄇㄧˋ,miánmì
綿綿,绵绵,,,,,,ㄇㄧㄢˊ ㄇㄧㄢˊ,miánmián
綿軟,绵软,,,,,,ㄇㄧㄢˊ ㄖㄨㄢˇ,miánruǎn
綿善,绵善,,,,,,ㄇㄧㄢˊ ㄕㄢˋ,miánshàn
綿甜,绵甜,,,,,,ㄇㄧㄢˊ ㄊㄧㄢˊ,miántián
綿延,绵延,,,,,,ㄇㄧㄢˊ ㄧㄢˊ,miányán
綿羊,绵羊,,,,,,ㄇㄧㄢˊ ㄧㄤˊ,miányánɡ
綿紙,绵纸,,,,,,ㄇㄧㄢˊ ㄓˇ,miánzhǐ
,棉,,,,,,ㄇㄧㄢˊ,mián
棉襖,棉袄,,,,,,ㄇㄧㄢˊ ㄠˇ,mián’ǎo
,棉被,,,,,,ㄇㄧㄢˊ ㄅㄟˋ,miánbèi
,棉布,,,,,,ㄇ丨ㄢˊ　ㄅㄨˋ,miánbù
棉滌,棉涤,,★,,,,ㄇ丨ㄢˊ　ㄉ丨ˊ,miándí
棉花糖,棉花糖,,,,,,ㄇ丨ㄢˊ　ㄏㄨㄚ　ㄊㄤˊ,miánhuātánɡ
棉花,棉花,,,,ㄇㄧㄢˊ ㄏㄨㄚ,miánhuā,ㄇㄧㄢˊ ˙ㄏㄨㄚ,miánhua
棉褲,棉裤,,,,,,ㄇ丨ㄢˊ　ㄎㄨˋ,miánkù
棉毛褲,棉毛裤,,★,,,,ㄇㄧㄢˊ ㄇㄠˊ ㄎㄨˋ,miánmáokù
,棉毛衫,,★,,,,ㄇㄧㄢˊ ㄇㄠˊ ㄕㄢ,miánmáoshān
,棉球,,,,,,ㄇㄧㄢˊ ㄑㄧㄡˊ,miánqiú
,棉桃,,,,,,ㄇㄧㄢˊ ㄊㄠˊ,miántáo
棉線,棉线,,,,,,ㄇ丨ㄢˊ　ㄒ丨ㄢˋ,miánxiàn
,棉絮,,,,,,ㄇㄧㄢˊ ㄒㄩˋ,miánxù
,棉衣,,,,,,ㄇ丨ㄢˊ　丨,miányī
媔,媔,1.,,,,,ㄇ丨ㄢˊ,mián
,櫋,,,,,,ㄇ丨ㄢˊ,mián
矊,（目+绵）,,,,,,ㄇ丨ㄢˊ,mián
鮸,（鱼＋免）,,,,,,ㄇㄧㄢˇ,miǎn
,丏,,,,,,ㄇ丨ㄢˇ,miǎn
,免,,,,,,ㄇㄧㄢˇ,miǎn
,免不得,,,,,,ㄇ丨ㄢˇ　ㄅㄨˋ　˙ㄉㄜ,miǎnbùde
,免不了,,,,ㄇ丨ㄢˇ　ㄅㄨˋ　ㄌ丨ㄠˇ,miǎnbùliǎo,ㄇ丨ㄢˇ　˙ㄅㄨ　ㄌ丨ㄠˇ,miǎnbuliǎo
,免除,,,,,,ㄇ丨ㄢˇ　ㄔㄨˊ,miǎnchú
,免得,,,,,,ㄇ丨ㄢˇ　˙ㄉㄜ,miǎnde
免費,免费,,,,,,ㄇㄧㄢˇ ㄈㄟˋ,miǎnfèi
免費軟件,免费软件,,★,,,,ㄇㄧㄢˇ ㄈㄟˋ ㄖㄨㄢˇ ㄐㄧㄢˋ,miǎnfèi ruǎnjiàn
免費軟體,免费软体,,▲,,,,ㄇㄧㄢˇ ㄈㄟˋ ㄖㄨㄢˇ ㄊㄧˇ,miǎnfèi ruǎntǐ
免費郵件,免费邮件,,,,,,ㄇ丨ㄢˇ　ㄈㄟˋ　丨ㄡˊ　ㄐ丨ㄢˋ,miǎnfèi yóujiàn
,免冠,,,,,,ㄇ丨ㄢˇ　ㄍㄨㄢ,miǎnɡuān
免檢,免检,,,,,,ㄇ丨ㄢˇ　ㄐ丨ㄢˇ,miǎnjiǎn
免禮,免礼,,,,,,ㄇㄧㄢˇ ㄌㄧˇ,miǎnlǐ
,免票,,,,,,ㄇ丨ㄢˇ　ㄆ丨ㄠˋ,miǎnpiào
免卻,免却,,,,,,ㄇㄧㄢˇ ㄑㄩㄝˋ,miǎnquè
免試,免试,,,,,,ㄇㄧㄢˇ ㄕˋ,miǎnshì
免稅,免税,,,,,,ㄇㄧㄢˇ ㄕㄨㄟˋ,miǎnshuì
免稅店,免税店,,,,,,ㄇ丨ㄢˇ　ㄕㄨㄟˋ　ㄉ丨ㄢˋ,miǎnshuìdiàn
免稅商店,免税商店,,,,,,ㄇㄧㄢˇ ㄕㄨㄟˋ ㄕㄤ ㄉㄧㄢˋ,miǎnshuì shāng diàn
,免俗,,,,,,ㄇㄧㄢˇ ㄙㄨˊ,miǎnsú
免談,免谈,,,,,,ㄇㄧㄢˇ ㄊㄢˊ,miǎntán
,免洗杯,,▲,,,,ㄇㄧㄢˇ ㄒㄧˇ ㄅㄟ,miǎnxǐbēi
免洗餐具,免洗餐具,,,,,,ㄇ丨ㄢˇ　ㄒ丨ˇ　ㄘㄢ　ㄐㄩˋ,miǎnxǐ cānjù
免洗筷,免洗筷,,▲,,,,ㄇㄧㄢˇ ㄒㄧˇ ㄎㄨㄞˋ,miǎnxǐkuài
免刑,免刑,,,,ㄇ丨ㄢˇ　ㄒ丨ㄥˊ,miǎnxínɡ,ㄇ丨ㄢˇ　ㄒ丨ㄥˊ,miǎnxínɡ
,免役,,,,,,ㄇㄧㄢˇ ㄧˋ,miǎnyì
,免疫,,,,,,ㄇㄧㄢˇ ㄧˋ,miǎnyì
,免疫力,,,,,,ㄇㄧㄢˇ ㄧˋ ㄌㄧˋ,miǎnyìlì
免疫排異反應,免疫排异反应,,★,,,,ㄇ丨ㄢˇ　丨ˋ　ㄆㄞˊ　丨ˋ　ㄈㄢˇ　丨ㄥˋ,miǎnyìpáiyìfǎnyìnɡ
,免疫性,,,,,,ㄇ丨ㄢˇ　丨ˋ　ㄒ丨ㄥˋ,miǎnyìxìnɡ
免責權,免责权,,,,,,ㄇㄧㄢˇ ㄗㄜˊ ㄑㄩㄢˊ,miǎnzéquán
免戰牌,免战牌,,,,,,ㄇ丨ㄢˇ　ㄓㄢˋ　ㄆㄞˊ,miǎnzhànpái
免職,免职,,,,,,ㄇㄧㄢˇ ㄓˊ,miǎnzhí
免罪,免罪,,,,,,ㄇ丨ㄢˇ　ㄗㄨㄟˋ,miǎnzuì
,沔,,,,,,ㄇㄧㄢˇ,miǎn
,眄,,,,,,ㄇㄧㄢˇ,miǎn
,俛,2.,,,,,ㄇ丨ㄢˇ,miǎn
,勉,,,,,,ㄇㄧㄢˇ,miǎn
,勉力,,,,,,ㄇㄧㄢˇ ㄌㄧˋ,miǎnlì
勉勵,勉励,,,,,,ㄇㄧㄢˇ ㄌㄧˋ,miǎnlì
勉勉強強,勉勉强强,,,,,,ㄇ丨ㄢˇ　ㄇ丨ㄢˇ　ㄑ丨ㄤˇ　ㄑ丨ㄤˇ,miǎnmiǎn-qiǎnɡqiǎnɡ
勉強,勉强,,,,,,ㄇㄧㄢˇ ㄑㄧㄤˇ,miǎnqiǎnɡ
勉為其難,勉为其难,,,,,,ㄇㄧㄢˇ ㄨㄟˊ ㄑㄧˊ ㄋㄢˊ,miǎnwéiqínán
勉學,勉学,,,,,,ㄇ丨ㄢˇ　ㄒㄩㄝˊ,miǎnxué
,娩,,,,,,ㄇㄧㄢˇ,miǎn
,冕,,,,,,ㄇㄧㄢˇ,miǎn
,偭,,,,,,ㄇ丨ㄢˇ,miǎn
澠,渑,,,,,,ㄇㄧㄢˇ,miǎn
覥,觍,1.,,,,,ㄇ丨ㄢˇ,miǎn
,湎,,,,,,ㄇㄧㄢˇ,miǎn
媔,媔,2.,,,,,ㄇ丨ㄢˇ,miǎn
緬,缅,,,,,,ㄇㄧㄢˇ,miǎn
緬懷,缅怀,,,,,,ㄇㄧㄢˇ ㄏㄨㄞˊ,miǎnhuái
腼  靦,腼,,,,,,ㄇ丨ㄢˇ,miǎn
（月＋面）,腼,,,,,,ㄇㄧㄢˇ,miǎn
靦覥,腼觍,,,,,,ㄇㄧㄢˇ ㄊㄧㄢˇ,miǎntiǎn
腼腆  靦覥  靦腆,腼腆,,,,,,ㄇ丨ㄢˇ　ㄊ丨ㄢˇ,miǎntiǎn
（月＋面）（月＋典）,腼腆,,,,,,ㄇㄧㄢˇ ㄊㄧㄢˇ,miǎntiǎn
靦,靦,,,,,,ㄇㄧㄢˇ,miǎn
靦腆,靦腆,,,,,,ㄇㄧㄢˇ ㄊㄧㄢˇ,miǎntiǎn
,面,,,,,,ㄇㄧㄢˋ,miàn
麵,面,,,,,,ㄇㄧㄢˋ,miàn
麵案,面案,,★,,,,ㄇㄧㄢˋ ㄢˋ,miàn’àn
面霸,面霸,,★,,,,ㄇㄧㄢˋ ㄅㄚˋ,miànbà
面板,面板,,,,,,ㄇㄧㄢˋ ㄅㄢˇ,miànbǎn
麵板,面板,,,,,,ㄇㄧㄢˋ ㄅㄢˇ,miànbǎn
面板股,面板股,,,,,,ㄇㄧㄢˋ ㄅㄢˇ ㄍㄨˇ,miànbǎnɡǔ
麵包,面包,,,,,,ㄇㄧㄢˋ ㄅㄠ,miànbāo
麵包車,面包车,,,,,,ㄇㄧㄢˋ ㄅㄠ ㄔㄜ,miànbāochē
,面壁,,,,,,ㄇㄧㄢˋ ㄅㄧˋ,miànbì
面壁思過,面壁思过,,,,,,ㄇㄧㄢˋ ㄅㄧˋ ㄙ ㄍㄨㄛˋ,miànbì–sīɡuò
,面不改色,,,,,,ㄇㄧㄢˋ ㄅㄨˋ ㄍㄞˇ ㄙㄜˋ,miànbùɡǎisè
麵茶,面茶,,,,,,ㄇㄧㄢˋ ㄔㄚˊ,miànchá
面陳,面陈,,,,,,ㄇㄧㄢˋ ㄔㄣˊ,miànchén
面稱,面称,,,,,,ㄇㄧㄢˋ ㄔㄥ,miànchēnɡ
面呈,面呈,,,,,,ㄇㄧㄢˋ ㄔㄥˊ,miànchéng
面斥,面斥,,,,,,ㄇㄧㄢˋ ㄔˋ,miànchì
麵的,面的,,★,,,,ㄇㄧㄢˋ ㄉㄧ,miàndī
麵點,面点,,,,,,ㄇㄧㄢˋ ㄉㄧㄢˇ,miàndiǎn
面對,面对,,,,,,ㄇㄧㄢˋ ㄉㄨㄟˋ,miànduì
面對面,面对面,,,,,,ㄇㄧㄢˋ ㄉㄨㄧˋ ㄇㄧㄢˋ,miànduìmiàn
面額,面额,,,,,,ㄇㄧㄢˋ ㄜˊ,miàn’é
面訪,面访,,,,,,ㄇㄧㄢˋ ㄈㄤˇ,miànfǎnɡ
麵肥,面肥,,,,,,ㄇㄧㄢˋ ㄈㄟˊ,miànféi
麵粉,面粉,,,,ㄇㄧㄢˋ ㄈㄣˇ,miànfěn,ㄇㄧㄢˋ ㄈㄣˇ,miànfěn
,面告,,,,,,ㄇㄧㄢˋ ㄍㄠˋ,miànɡào
麵疙瘩,面疙瘩,,,,,,ㄇㄧㄢˋ ㄍㄜ ˙ㄉㄚ,miànɡēdɑ
麵館,面馆,,,,,,ㄇㄧㄢˋ ㄍㄨㄢˇ,miànɡuǎn
面紅耳赤,面红耳赤,,,,,,ㄇㄧㄢˋ ㄏㄨㄥˊ ㄦˇ ㄔˋ,miànhónɡ–ěrchì
麵糊,面糊,,,,ㄇㄧㄢˋ ㄏㄨˊ,miànhú,ㄇㄧㄢˋ ㄏㄨˋ,miànhù
麵糊,面糊,,★,,,,ㄇㄧㄢˋ ˙ㄏㄨ,miànhu
面黃肌瘦,面黄肌瘦,,,,,,ㄇㄧㄢˋ ㄏㄨㄤˊ ㄐㄧ ㄕㄡˋ,miànhuánɡ–jīshòu
面積,面积,,,,,,ㄇㄧㄢˋ ㄐㄧ,miànjī
面頰,面颊,,,,,,ㄇㄧㄢˋ ㄐㄧㄚˊ,miànjiá
,面交,,,,,,ㄇㄧㄢˋ ㄐㄧㄠ,miànjiāo
,面巾,,,,,,ㄇㄧㄢˋ ㄐㄧㄣ,miànjīn
麵筋,面筋,,,,,,ㄇㄧㄢˋ ㄐㄧㄣ,miànjīn
,面具,,,,,,ㄇㄧㄢˋ ㄐㄩˋ,miànjù
,面孔,,,,,,ㄇㄧㄢˋ ㄎㄨㄥˇ,miànkǒnɡ
面老,面老,,★,,,,ㄇㄧㄢˋ ㄌㄠˇ,miànlǎo
面料,面料,,★,,,,ㄇㄧㄢˋ ㄌㄧㄠˋ,miànliào
面臨,面临,,,,,,ㄇㄧㄢˋ ㄌㄧㄣˊ,miànlín
,面貌,,,,,,ㄇㄧㄢˋ ㄇㄠˋ,miànmào
面面觀,面面观,,,,,,ㄇㄧㄢˋ ㄇㄧㄢˋ ㄍㄨㄢ,miànmiànɡuān
,面面俱到,,,,,,ㄇㄧㄢˋ ㄇㄧㄢˋ ㄐㄩˋ ㄉㄠˋ,miànmiàn–jùdào
面面相覷,面面相觑,,,,,,ㄇㄧㄢˋ ㄇㄧㄢˋ ㄒㄧㄤ ㄑㄩˋ,miànmiàn–xiānɡ qù
面膜,面膜,,,,,,ㄇㄧㄢˋ ㄇㄛˊ,miànmó
,面目,,,,,,ㄇㄧㄢˋ ㄇㄨˋ,miànmù
面目全非,面目全非,,,,,,ㄇㄧㄢˋ ㄇㄨˋ ㄑㄩㄢˊ ㄈㄟ,miànmù–quán fēi
,面目一新,,,,ㄇㄧㄢˋ ㄇㄨˋ ㄧˋ ㄒㄧㄣ,miànmù–yìxīn,ㄇㄧㄢˋ ㄇㄨˋ ㄧ ㄒㄧㄣ,miànmù–yīxīn
,面嫩,,,,,,ㄇㄧㄢˋ ㄋㄣˋ,miànnèn
面龐,面庞,,,,ㄇㄧㄢˋ ㄆㄤˊ,miànpánɡ,ㄇㄧㄢˋ ㄆㄤˊ,miànpánɡ
面皰,面疱,,,,,,ㄇㄧㄢˋ ㄆㄠˋ,miànpào
,面盆,,,,,,ㄇㄧㄢˋ ㄆㄣˊ,miànpén
麵皮,面皮,,,,,,ㄇㄧㄢˋ ㄆㄧˊ,miànpí
,面皮,,,,,,ㄇㄧㄢˋ ㄆㄧˊ,miànpí
,面洽,,,,,,ㄇㄧㄢˋ ㄑㄧㄚˋ,miànqià
面簽,面签,,,,,,ㄇㄧㄢˋ ㄑㄧㄢ,miànqiān
面前,面前,,,,,,ㄇㄧㄢˋ ㄑㄧㄢˊ,miànqián
面人兒,面人儿,,,,ㄇ丨ㄢˋ　ㄖㄜˊㄦ,miànrér,ㄇㄧㄢˋ ㄖㄣˊ ㄦ,miànrénr
,面容,,,,,,ㄇㄧㄢˋ ㄖㄨㄥˊ,miànróng
面如死灰,面如死灰,,,,,,ㄇㄧㄢˋ ㄖㄨˊ ㄙˇ ㄏㄨㄟ,miànrúsǐhuī
面如土色,面如土色,,,,,,ㄇㄧㄢˋ ㄖㄨˊ ㄊㄨˇ ㄙㄜˋ,miànrútǔsè
面軟,面软,,,,,,ㄇㄧㄢˋ ㄖㄨㄢˇ,miànruǎn
,面色,,,,,,ㄇㄧㄢˋ ㄙㄜˋ,miànsè
面紗,面纱,,,,,,ㄇㄧㄢˋ ㄕㄚ,miànshā
面善,面善,,,,,,ㄇㄧㄢˋ ㄕㄢˋ,miànshàn
面商,面商,,,,,,ㄇㄧㄢˋ ㄕㄤ,miànshānɡ
面神經,面神经,,★,,,,ㄇㄧㄢˋ ㄕㄣˊ ㄐㄧㄥ,miànshénjīnɡ
,面生,,,,,,ㄇㄧㄢˋ ㄕㄥ,miànshēnɡ
麵食,面食,,,,,,ㄇㄧㄢˋ ㄕˊ,miànshí
,面世,,,,,,ㄇㄧㄢˋ ㄕˋ,miànshì
,面市,,,,,,ㄇㄧㄢˋ ㄕˋ,miànshì
面試,面试,,,,,,ㄇㄧㄢˋ ㄕˋ,miànshì
,面授,,,,,,ㄇㄧㄢˋ ㄕㄡˋ,miànshòu
面授機宜,面授机宜,,,,,,ㄇㄧㄢˋ ㄕㄡˋ ㄐㄧ ㄧˊ,miànshòu–jīyí
,面熟,,,,ㄇㄧㄢˋ ㄕㄡˊ,miàn shóu,ㄇㄧㄢˋ ㄕㄨˊ,miànshú
面訴,面诉,,,,,,ㄇㄧㄢˋ ㄙㄨˋ,miànsù
麵塑,面塑,,,,,,ㄇ丨ㄢˋ　ㄙㄨˋ,miànsù
面癱,面瘫,,,,,,ㄇㄧㄢˋ ㄊㄢ,miàntān
面談,面谈,,,,,,ㄇㄧㄢˋ ㄊㄢˊ,miàntán
麵湯,面汤,,,,,,ㄇㄧㄢˋ ㄊㄤ,miàntānɡ
麵條,面条,,,,,,ㄇㄧㄢˋ ㄊㄧㄠˊ,miàntiáo
麵團,面团,,,,,,ㄇㄧㄢˋ ㄊㄨㄢˊ,miàntuán
面無人色,面无人色,,,,ㄇㄧㄢˋ ㄨˊ ㄖㄣˊ ㄙㄜˋ,miànwú–rénsè,ㄇㄧㄢˋ ㄨˊ ㄖㄣˊ ㄙㄜˋ,miànwú-rénsè
,面晤,,,,,,ㄇㄧㄢˋ ㄨˋ,miànwù
麵線,面线,,▲,,,,ㄇㄧㄢˋ ㄒㄧㄢˋ,miànxiàn
,面向,,,,,,ㄇㄧㄢˋ ㄒㄧㄤˋ,miànxiànɡ
,面相,,,,,,ㄇㄧㄢˋ ㄒㄧㄤˋ,miànxiànɡ
面謝,面谢,,,,,,ㄇㄧㄢˋ ㄒㄧㄝˋ,miànxiè
面議,面议,,,,,,ㄇㄧㄢˋ ㄧˋ,miànyì
,面影,,,,,,ㄇㄧㄢˋ ㄧㄥˇ,miànyǐnɡ
面有難色,面有难色,,,,,,ㄇㄧㄢˋ ㄧㄡˇ ㄋㄢˊ ㄙㄜˋ,miànyǒunánsè
面諭,面谕,,,,,,ㄇㄧㄢˋ ㄩˋ,miànyù
,面罩,,,,,,ㄇㄧㄢˋ ㄓㄠˋ,miànzhào
,面值,,,,,,ㄇㄧㄢˋ ㄓˊ,miànzhí
面紙,面纸,,,,,,ㄇ丨ㄢˋ　ㄓˇ,miànzhǐ
面磚,面砖,,,,,,ㄇㄧㄢˋ ㄓㄨㄢ,miànzhuān
,面子,,,,,,ㄇㄧㄢˋ ˙ㄗ,miànzi
,瞑,,,,ㄇㄧㄢˊ,mián,ㄇㄧㄢˋ,miàn
喵,喵,,,,,,ㄇ丨ㄠ,miāo
苗,苗,,,,,,ㄇㄧㄠˊ,miáo
苗床,苗床,,,,,,ㄇㄧㄠˊ ㄔㄨㄤˊ,miáochuánɡ
苗而不秀,苗而不秀,,,,ㄇㄧㄠˊ ㄦˊ ㄅㄨˊ ㄒㄧㄡˋ,miáo’ér búxiù,ㄇㄧㄠˊ ㄦˊ ㄅㄨˋ ㄒㄧㄡˋ,miáo’érbùxiù
苗家,苗家,,,,,,ㄇㄧㄠˊ ㄐㄧㄚ,miáojiā
苗距,苗距,,,,,,ㄇㄧㄠˊ ㄐㄩˋ,miáojù
苗木,苗木,,,,,,ㄇㄧㄠˊ ㄇㄨˋ,miáomù
苗圃,苗圃,,,,,,ㄇㄧㄠˊ ㄆㄨˇ,miáopǔ
苗期,苗期,,,,,,ㄇㄧㄠˊ ㄑㄧ,miáoqī
苗情,苗情,,★,,,,ㄇㄧㄠˊ ㄑㄧㄥˊ,miáoqínɡ
苗條,苗条,,,,ㄇㄧㄠˊ ㄊㄧㄠˊ,miáotiáo,ㄇㄧㄠˊ ˙ㄊㄧㄠ,miáotiao
苗頭,苗头,,,,,,ㄇㄧㄠˊ ˙ㄊㄡ,miáotou
苗裔,苗裔,,,,,,ㄇㄧㄠˊ ㄧˋ,miáoyì
苗語,苗语,,,,,,ㄇㄧㄠˊ ㄩˇ,miáoyǔ
苗寨,苗寨,,,,,,ㄇㄧㄠˊ ㄓㄞˋ,miáozhài
苗子,苗子,,,,,,ㄇㄧㄠˊ ˙ㄗ,miáozi
描,描,,,,,,ㄇㄧㄠˊ,miáo
描紅,描红,,,,,,ㄇㄧㄠˊ ㄏㄨㄥˊ,miáohóng
描畫,描画,,,,,,ㄇ丨ㄠˊ　ㄏㄨㄚˋ,miáohuà
描繪,描绘,,,,,,ㄇㄧㄠˊ ㄏㄨㄟˋ,miáohuì
描摹,描摹,,,,,,ㄇㄧㄠˊ ㄇㄛˊ,miáomó
描述,描述,,,,,,ㄇㄧㄠˊ ㄕㄨˋ,miáoshù
描寫,描写,,,,,,ㄇㄧㄠˊ ㄒㄧㄝˇ,miáoxiě
鶓,鹋,,,,,,ㄇ丨ㄠˊ,miáo
瞄,瞄,,,,,,ㄇㄧㄠˊ,miáo
瞄準,瞄准,,,,,,ㄇㄧㄠˊ ㄓㄨㄣˇ,miáozhǔn
,杪,,,,,,ㄇㄧㄠˇ,miǎo
,眇,,,,,,ㄇㄧㄠˇ,miǎo
,秒,,,,,,ㄇㄧㄠˇ,miǎo
,秒表,,,,,,ㄇㄧㄠˇ ㄅㄧㄠˇ,miǎobiǎo
秒殺,秒杀,,,,,,ㄇㄧㄠˇ ㄕㄚ,miǎoshā
秒針,秒针,,,,,,ㄇㄧㄠˇ ㄓㄣ,miǎozhēn
,淼,,,,,,ㄇㄧㄠˇ,miǎo
淼茫,淼茫,,,,,,ㄇㄧㄠˇ ㄇㄤˊ,miǎománɡ
淼淼,淼淼,,,,,,ㄇㄧㄠˇ ㄇㄧㄠˇ,miǎomiǎo
,渺,,,,,,ㄇㄧㄠˇ,miǎo
渺茫,渺茫,,,,,,ㄇㄧㄠˇ ㄇㄤˊ,miǎománɡ
,渺渺,,,,,,ㄇㄧㄠˇ ㄇㄧㄠˇ,miǎomiǎo
渺無人煙,渺无人烟,,,,ㄇㄧㄠˇ ㄨˊ ㄖㄣˊ ㄧㄢ,miǎowúrényān,ㄇㄧㄠˇ ㄨˊ ㄖㄣˊ ㄧㄢ,miǎowúrényān
,渺小,,,,,,ㄇㄧㄠˇ ㄒㄧㄠˇ,miǎoxiǎo
緲,缈,,,,,,ㄇㄧㄠˇ,miǎo
藐,藐,,,,,,ㄇㄧㄠˇ,miǎo
藐不可測,藐不可测,,,,,,ㄇㄧㄠˇ ㄅㄨˋ ㄎㄜˇ ㄘㄜˋ,miǎobùkěcè
藐視,藐视,,,,,,ㄇㄧㄠˇ ㄕˋ,miǎoshì
藐小,藐小,,,,,,ㄇㄧㄠˇ ㄒㄧㄠˇ,miǎoxiǎo
邈,邈,,,,,,ㄇㄧㄠˇ,miǎo
,妙,,,,,,ㄇㄧㄠˋ,miào
,妙不可言,,,,,,ㄇㄧㄠˋ ㄅㄨˋ ㄎㄜˇ ㄧㄢˊ,miàobùkěyán
,妙策,,,,,,ㄇㄧㄠˋ ㄘㄜˋ,miàocè
妙處,妙处,,,,,,ㄇㄧㄠˋ ㄔㄨˋ,miàochù
,妙法,,,,,,ㄇㄧㄠˋ ㄈㄚˇ,miàofǎ
,妙方,,,,,,ㄇㄧㄠˋ ㄈㄤ,miàofāng
妙計,妙计,,,,,,ㄇㄧㄠˋ ㄐㄧˋ,miàojì
妙齡,妙龄,,,,,,ㄇㄧㄠˋ ㄌㄧㄥˊ,miàolínɡ
妙齡女郎,妙龄女郎,,,,,,ㄇㄧㄠˋ ㄌㄧㄥˊ ㄋㄩˇ ㄌㄤˊ,miàolínɡ nǚlánɡ
妙論,妙论,,,,,,ㄇㄧㄠˋ ㄌㄨㄣˋ,miàolùn
,妙趣,,,,,,ㄇㄧㄠˋ ㄑㄩˋ,miàoqù
妙趣橫生,妙趣横生,,,,,,ㄇㄧㄠˋ ㄑㄩˋ ㄏㄥˊ ㄕㄥ,miàoqù–hénɡ shēnɡ
,妙手回春,,,,,,ㄇㄧㄠˋ ㄕㄡˇ ㄏㄨㄟˊ ㄔㄨㄣ,miàoshǒu–huíchūn
,妙手空空,,,,,,ㄇㄧㄠˋ ㄕㄡˇ ㄎㄨㄥ ㄎㄨㄥ,miàoshǒu–kōngkōng
,妙算,,,,,,ㄇ丨ㄠˋ　ㄙㄨㄢˋ,miàosuàn
,妙用,,,,,,ㄇ丨ㄠˋ　ㄩㄥˋ,miàoyònɡ
妙語,妙语,,,,,,ㄇ丨ㄠˋ　ㄩˇ,miàoyǔ
妙語如珠,妙语如珠,,,,,,ㄇㄧㄠˋ ㄩˇ ㄖㄨˊ ㄓㄨ,miàoyǔ–rúzhū
,妙招,,,,,,ㄇㄧㄠˋ ㄓㄠ,miàozhāo
廟,庙,,,,,,ㄇㄧㄠˋ,miào
廟會,庙会,,,,,,ㄇㄧㄠˋ ㄏㄨㄟˋ,miàohuì
廟堂,庙堂,,,,,,ㄇㄧㄠˋ ㄊㄤˊ,miàotáng
廟宇,庙宇,,,,,,ㄇㄧㄠˋ ㄩˇ,miàoyǔ
廟祝,庙祝,,,,,,ㄇㄧㄠˋ ㄓㄨˋ,miàozhù
,玅,,,,,,ㄇ丨ㄠˋ,miào
繆,缪,,,,,,ㄇㄧㄠˋ,miào
,（口＋迷）,,,,,,ㄇㄧㄝ,miē
乜,乜,1.,,,,,ㄇ丨ㄝ,miē
,咩,,,,,,ㄇㄧㄝ,miē
滅,灭,,,,,,ㄇㄧㄝˋ,miè
滅茬,灭茬,,,,,,ㄇㄧㄝˋ ㄔㄚˊ,mièchá
滅頂,灭顶,,,,,,ㄇㄧㄝˋ ㄉㄧㄥˇ,mièdǐnɡ
滅頂之災,灭顶之灾,,,,,,ㄇㄧㄝˋ ㄉㄧㄥˇ ㄓ ㄗㄞ,mièdǐnɡzhīzāi
滅火,灭火,,,,,,ㄇㄧㄝˋ ㄏㄨㄛˇ,mièhuǒ
滅火器,灭火器,,,,,,ㄇㄧㄝˋ ㄏㄨㄛˇ ㄑㄧˋ,mièhuǒqì
滅跡,灭迹,,,,ㄇ丨ㄝˋ　ㄐ丨,mièjī,ㄇㄧㄝˋ ㄐㄧˋ,mièjì
滅絕,灭绝,,,,,,ㄇㄧㄝˋ ㄐㄩㄝˊ,mièjué
