序號,正體字,簡化字,音一,音二,音三,音四,音五,音六,統讀
350,酷,酷,kù,,,,,,統讀
351,框,框,kuànɡ,,,,,,統讀
352,礦,矿,kuànɡ,,,,,,統讀
353,傀,傀,kuǐ,,,,,,統讀
354,潰,溃,kuì,huì,,,,,
355,簣,篑,kuì,,,,,,統讀
356,括,括,kuò,,,,,,統讀
357,垃,垃,lā,,,,,,統讀
358,邋,邋,lā,,,,,,統讀
359,罱,罱,lǎn,,,,,,統讀
360,纜,缆,lǎn,,,,,,統讀
361,藍,蓝,lan,lán,,,,,
362,琅,琅,lánɡ,,,,,,統讀
363,撈,捞,lāo,,,,,,統讀
364,勞,劳,láo,,,,,,統讀
365,醪,醪,láo,,,,,,統讀
366,烙,烙,lào,luò,,,,,
367,勒,勒,lè,lēi,,,,,
368,擂,擂,léi,lèi,,,,,
369,礌,礌,léi,,,,,,統讀
370,羸,羸,léi,,,,,,統讀
371,蕾,蕾,lěi,,,,,,統讀
372,累,累,lèi,léi,lěi,,,,
373,蠡,蠡,lí,lǐ,,,,,
374,喱,喱,lí,,,,,,統讀
375,連,连,lián,,,,,,統讀
376,斂,敛,liǎn,,,,,,統讀
377,戀,恋,liàn,,,,,,統讀
378,量,量,liànɡ,lianɡ,liánɡ,,,,
379,踉,踉,liànɡ,,,,,,
380,潦,潦,liáo,lào,lǎo,,,,
381,劣,劣,liè,,,,,,統讀
382,捩,捩,liè,,,,,,統讀
383,趔,趔,liè,,,,,,統讀
384,拎,拎,līn,,,,,,統讀
385,遴,遴,lín,,,,,,統讀
386,淋,淋,lín,lìn,,,,,
387,蛉,蛉,línɡ,,,,,,統讀
388,榴,榴,liú,,,,,,統讀
389,餾,馏,liú,liù,,,,,
390,鎦,镏,liú,liù,,,,,
391,碌,碌,liù,lù,,,,,
392,籠,笼,lónɡ,lǒnɡ,,,,,
393,僂,偻,lóu,lǚ,,,,,
394,瞜,䁖,lou,lōu,lǘ,,,,
395,虜,虏,lǔ,,,,,,統讀
396,擄,掳,lǔ,,,,,,統讀
397,露,露,lù,lòu,,,,,
398,櫚,榈,lǘ,,,,,,統讀
399,捋,捋,lǚ,luō,,,,,
400,綠,绿,lǜ,lù,,,,,
401,孿,孪,luán,,,,,,統讀
402,攣,挛,luán,,,,,,統讀
403,掠,掠,lüè,,,,,,統讀
404,圇,囵,lún,,,,,,統讀
405,絡,络,luò,lào,,,,,
406,落,落,luò,lào,là,,,,
407,脈,脉,mài,mò,,,,,
408,漫,漫,màn,,,,,,統讀
409,蔓,蔓,màn,wàn,,,,,
410,牤,牤,mānɡ,,,,,,統讀
411,氓,氓,mánɡ,ménɡ,,,,,
412,芒,芒,mánɡ,,,,,,統讀
413,鉚,铆,mǎo,,,,,,統讀
414,瑁,瑁,mào,,,,,,統讀
415,虻,虻,ménɡ,,,,,,統讀
416,盟,盟,ménɡ,,,,,,統讀
417,禰,祢,mí,,,,,,統讀
418,眯,眯,mí,mī,,,,,
419,靡,靡,mí,mǐ,,,,,
420,秘,秘,mì,bì,,,,,
421,泌,泌,mì,bì,,,,,
422,娩,娩,miǎn,,,,,,統讀
423,緲,缈,miǎo,,,,,,統讀
424,皿,皿,mǐn,,,,,,統讀
425,閩,闽,mǐn,,,,,,統讀
426,茗,茗,mínɡ,,,,,,統讀
427,酩,酩,mǐnɡ,,,,,,統讀
428,謬,谬,miù,,,,,,統讀
429,摸,摸,mō,,,,,,統讀
430,模,模,mó,mú,,,,,
431,膜,膜,mó,,,,,,統讀
432,摩,摩,mó,mā,,,,,
433,嬤,嬷,mó,,,,,,統讀
434,墨,墨,mò,,,,,,統讀
435,耱,耱,mò,,,,,,統讀
436,沫,沫,mò,,,,,,統讀
437,繆,缪,móu,miào,miù,,,,
438,難,难,nán,nàn,,,,,
439,蝻,蝻,nǎn,,,,,,統讀
440,蟯,蛲,náo,,,,,,統讀
441,訥,讷,nè,,,,,,統讀
442,餒,馁,něi,,,,,,統讀
443,嫩,嫩,nèn,,,,,,統讀
444,恁,恁,nèn,,,,,,統讀
445,妮,妮,nī,,,,,,統讀
446,拈,拈,niān,,,,,,統讀
447,鯰,鲇,nián,,,,,,統讀
448,釀,酿,niànɡ,,,,,,統讀
449,尿,尿,niào,suī,,,,,
450,囁,嗫,niè,,,,,,統讀
451,寧,宁,nínɡ,nìnɡ,,,,,
452,忸,忸,niǔ,,,,,,統讀
453,膿,脓,nónɡ,,,,,,統讀
454,弄,弄,nònɡ,lònɡ,,,,,
455,暖,暖,nuǎn,,,,,,統讀
456,衄,衄,nǜ,,,,,,統讀
457,瘧,疟,nüè,yào,,,,,
458,娜,娜,nuó,nà,,,,,
459,毆,殴,ōu,,,,,,統讀
460,嘔,呕,ǒu,,,,,,統讀
461,杷,杷,pá,,,,,,統讀
462,琶,琶,pá,,,,,,統讀
463,牌,牌,pái,,,,,,統讀
464,排,排,pǎi,pái,,,,,
465,迫,迫,pǎi,pò,,,,,
466,湃,湃,pài,,,,,,統讀
467,爿,爿,pán,,,,,,統讀
468,胖,胖,pán,pànɡ,,,,,
469,蹣,蹒,pán,,,,,,統讀
470,畔,畔,pàn,,,,,,統讀
471,乓,乓,pānɡ,,,,,,統讀
472,滂,滂,pānɡ,,,,,,統讀
473,脬,脬,pāo,,,,,,統讀
474,胚,胚,pēi,,,,,,統讀
475,噴,喷,pēn,pèn,pen,,,,
476,澎,澎,pénɡ,,,,,,統讀
477,坯,坯,pī,,,,,,統讀
478,披,披,pī,,,,,,統讀
479,匹,匹,pǐ,,,,,,統讀
480,僻,僻,pì,,,,,,統讀
481,譬,譬,pì,,,,,,統讀
482,片,片,piàn,piān,,,,,
483,剽,剽,piāo,,,,,,統讀
484,縹,缥,piāo,piǎo,,,,,
485,撇,撇,piē,piě,,,,,
486,聘,聘,pìn,,,,,,統讀
487,乒,乒,pīnɡ,,,,,,統讀
488,頗,颇,pō,,,,,,統讀
489,剖,剖,pōu,,,,,,統讀
490,仆,仆,pū,,,,,,
491,僕,仆,pú,,,,,,
492,撲,扑,pū,,,,,,統讀
