臺灣詞,,,大陸詞,,,差異別
瑕疵品,29090,70575,殘次品,24255,81280,1
生理食鹽水,29322,70426,生理鹽水,29326,79761,1
當機,29737,61583,死機,24223,79754,1
皮膚炎,122395,120428,皮炎,91146,116325,1
矽酸鹽,91489,93299,硅酸鹽,121561,94724,1
空氣品質,121709,96676,空氣質量,92010,93858,1
空中大學,32378,70281,電大,62203,19446,1
窄頻帶,129589,124098,窄帶,92055,118540,1
竊盜案,32571,81154,盜竊案,30521,81470,1
笛摩根法則,124173,133316,德摩根法則,124260,127898,1
組合屋,33677,70790,活動板房,25691,80173,1
網咖,34013,70558,網吧,34008,79801,1
網際網路,34043,63665,互聯網,1745,71734,1
網際網路協定,124053,128195,因特網互聯協議,124128,125216,1
網路沉溺症,129689,130064,網絡綜合徵,129076,121939,1
網路經濟,122392,119011,網絡經濟,92907,119010,1
網路語言,130037,132787,網語,129154,121942,1
網路書店,122387,118994,網上書店,92895,118915,1
考古題,122023,129659,真題,129631,125734,1
聖女番茄,129556,122015,聖女果,129053,121955,1
航廈,122996,122362,航站樓,122997,122361,1
虛擬記憶體,124067,130547,虛擬存儲器,124137,130539,1
螢幕保護程式,38257,81499,屏幕保護,13975,81648,1
行人徒步區,38443,70882,步行街,24055,79828,1
行車執照,38464,81376,行駛證,38523,81645,1
衛生棉,38587,61664,衛生巾,38583,81494,1
視訊會議,39150,113175,視頻會議,125613,133138,1
視訊電話,39149,71181,視頻電話,39165,81644,1
解析度,39291,80048,分辨率,5449,74656,1
觸控式螢幕,121104,85537,觸控式屏幕,126178,129290,1
貧窮線,40738,80303,貧困線,40731,80301,1
資料探勘,124010,131191,數據挖掘,124086,126253,1
資料探勘,124010,131191,數據採掘,124085,126254,1
賓士,40943,61620,奔馳,11503,64078,1
選殖,121770,97151,克隆化,123989,126523,1
開發中國家,44942,71424,欠發達國家,129345,127057,1
開發中國家,44942,71424,發展中國家,30146,79762,1
閘道,130038,132788,網關,129449,132658,1
阿司匹靈,45206,113733,阿司匹林,45205,78426,1
震撼彈,46389,85970,重磅炸彈,128881,133088,1
風向儀,122442,120933,向風針,74519,14650,1
驅動程式,47839,129572,驅動程序,123309,129628,1
高畫質,48131,114023,高解像,48143,86838,1
鼻胃管,123063,129206,鼻飼管,123064,129208,1
不斷電系統,129817,128049,不間斷電源,129818,128048,1
世界大學運動會,129823,128056,世界大學生運動會,129824,128055,1
人類基因體計畫,123851,123238,人類基因組計畫,123927,123190,1
位元每秒,129830,128390,比特每秒,129831,128394,1
保固期,3018,60713,保修期,3026,79771,1
信用狀,2912,60757,信用證,49353,84881,1
儲值,109897,17595,充值,81444,18471,1
光碟機,4104,59773,光盤機,63531,5651,1
光害,4078,80628,光汙染,4062,80623,1
免洗杯,4204,81298,一次性杯子,70,81299,1
內線交易,4390,58878,內幕交易,4378,81485,1
共用軟體,124049,123070,共享軟件,4759,80374,1
分離式,122536,121115,分體,110893,14147,1
列印機,5485,63819,打印機,17787,79747,1
加護病房,6024,59441,特護病房,68420,86700,1
卯勁,66009,5597,鉚勁,66013,5691,1
原子爐,70477,6686,反應堆,62662,7030,1
哈啾,8329,60849,阿嚏,45236,79834,1
嚴重急性呼吸道症候群,123698,126722,薩斯,126117,132891,1
國民住宅,9298,61363,經適房,129300,132573,1
國宅,9304,64404,經濟適用房,33931,79737,1
土石流,9509,62550,泥石流,25436,69584,1
地下道,9588,62586,地下通道,9586,81581,1
埠,9964,28940,端口,92152,89707,1
塑膠貨幣,125669,122834,電子貨幣,97946,26100,1
外匯存底,10458,59586,外匯儲備,10459,81649,1
大火鍋,130051,132868,大蓋帽,83913,124622,1
大英國協,123755,124425,英聯邦,123704,130457,1
太空人,11320,64615,航天員,36641,80183,1
太保,11342,64622,阿飛,45224,71631,1
套裝軟體,11580,63998,套裝軟件,130401,133402,1
安定器,122424,120911,鎮流器,97184,120347,1
寬頻,13300,61656,寬帶,13290,81508,1
寬頻電話,122068,115502,互聯網電話,1746,1653,1
導言,13604,3080,導語,49331,3083,1
屈光率,122511,121086,光焦度,111444,18805,1
巡弋飛彈,42317,71484,巡航導彈,42331,81075,1
廣域網路,124068,125882,廣域網,85223,125881,1
彈翻床,122549,121134,蹦床,109092,121135,1
感測網路,124048,127801,感測網絡,130117,133311,1
感熱紙,121553,90324,熱敏紙,27864,86659,1
懸浮微粒,78083,125907,可吸入顆粒物,82669,122653,1
懸疑劇,17349,3840,懸念劇,17336,3837,1
房屋稅,17591,67248,房產稅,17594,81671,1
打檔,17905,94482,掛擋,111383,18768,1
扮白臉,18077,80666,唱紅臉,8524,80573,1
扮家家酒,18079,95255,過家家,43162,81124,1
投資報酬率,18176,68176,投資回報率,18174,81611,1
抹片,18306,67488,塗片,10104,79772,1
捐血,18897,61109,獻血,28742,80929,1
