流水號,國字,審定音一,審定音二,審定音三,審定音四,審定音五,審定音六
430,懾,ㄓㄜˊ,,,,,
431,我,ㄨㄛˇ,,,,,
432,戚,ㄑ丨,,,,,
433,戲,ㄒ丨ˋ,ㄏㄨ,,,,
434,扁,ㄅ丨ㄢˇ,ㄆ丨ㄢ,,,,
435,扃,ㄐㄩㄥ,,,,,
436,扇,ㄕㄢ,ㄕㄢˋ,,,,
437,扎,ㄓㄚ,ㄓㄚˊ,,,,
438,打,ㄉㄚˇ,,,,,
439,扔,ㄖㄥ,,,,,
440,扒,ㄅㄚ,ㄆㄚˊ,,,,
441,扛,ㄍㄤ,ㄎㄤˊ,,,,
442,把,ㄅㄚˇ,ㄅㄚˋ,,,,
443,扳,ㄅㄢ,,,,,
444,折,ㄓㄜ,ㄓㄜˊ,ㄕㄜˊ,,,
445,抓,ㄓㄨㄚ,ㄔㄨㄚˇ,,,,
446,拌,ㄅㄢˋ,,,,,
447,拂,ㄈㄨˊ,,,,,
448,抹,ㄇㄛˇ,ㄇㄛˋ,,,,
449,招,ㄓㄠ,,,,,
450,披,ㄆ丨,,,,,
451,拓,ㄊㄚˋ,ㄊㄨㄛˋ,,,,
452,拈,ㄋ丨ㄢˊ,,,,,
453,押,丨ㄚ,,,,,
454,拍,ㄆㄞ,,,,,
455,抵,ㄉ丨ˇ,,,,,
456,拗,ㄋ丨ㄡˋ,ㄠ,ㄠˇ,ㄠˋ,,
457,拆,ㄔㄞ,,,,,
458,挖,ㄨㄚ,,,,,
459,拽,ㄓㄨㄞˋ,,,,,
460,括,ㄍㄨㄚ,ㄎㄨㄛˋ,,,,
461,拾,ㄕˊ,ㄕㄜˋ,,,,
462,挑,ㄊ丨ㄠ,ㄊ丨ㄠˇ,,,,
463,捎,ㄕㄠ,ㄕㄠˋ,,,,
464,挾,ㄒ丨ㄚˊ,,,,,
465,振,ㄓㄣˋ,,,,,
466,捕,ㄅㄨˇ,,,,,
467,挨,ㄞ,,,,,
468,捋,ㄌㄜˋ,ㄌㄨㄛ,ㄌㄩˇ ,,,
469,挲,ㄙㄨㄛ,,,,,
470,掖,丨ㄝ,丨ㄝˋ,,,,
471,探,ㄊㄢˋ,,,,,
472,掃,ㄙㄠˇ,ㄙㄠˋ,,,,
473,掄,ㄌㄨㄣ,ㄌㄨㄣˊ,,,,
474,掙,ㄓㄥ,ㄓㄥˋ,,,,
475,排,ㄆㄞˊ,,,,,
476,捻,ㄋ丨ㄢˇ,,,,,
477,捩,ㄌ丨ㄝˋ,,,,,
478,捽,ㄗㄨˊ,,,,,
479,掇,ㄉㄨㄛˊ,,,,,
480,据,ㄐㄩ,ㄐㄩˋ,,,,
481,揆,ㄎㄨㄟˊ,,,,,
482,提,ㄊ丨ˊ,,,,,
483,揖,丨,,,,,
484,揭,ㄐ丨ㄝ,ㄑ丨ˋ,,,,
485,揄,ㄩˊ,,,,,
486,搽,ㄔㄚˊ,,,,,
487,搶,ㄑ丨ㄤ,ㄑ丨ㄤˇ,,,,
488,搐,ㄔㄨˋ ,,,,,
489,撇,ㄆ丨ㄝ,ㄆ丨ㄝˇ,,,,
490,摘,ㄓㄞ,,,,,
491,摸,ㄇㄛ,,,,,
492,摟,ㄌㄡ,ㄌㄡˊ,ㄌㄡˇ,,,
493,摺,ㄓㄜˊ,,,,,
494,摻,ㄔㄢ,ㄕㄢˇ,ㄘㄢˋ ,,,
495,摩,ㄇㄛˊ,,,,,
496,撞,ㄓㄨㄤˋ,,,,,
497,撈,ㄌㄠ,ㄌㄠˊ,,,,
498,撕,ㄙ,ㄒ丨,,,,
499,撩,ㄌ丨ㄠˊ,,,,,
500,撒,ㄙㄚ,ㄙㄚˇ,,,,
501,撮,ㄘㄨㄛˋ,,,,,
502,撬,ㄑ丨ㄠˋ,,,,,
503,撢,ㄉㄢˇ  ,,,,,
504,撣,ㄉㄢˇ,ㄕㄢˋ ,,,,
505,擁,ㄩㄥˇ,,,,,
506,擋,ㄉㄤˇ,ㄉㄤˋ,,,,
507,擄,ㄌㄨˇ,,,,,
508,擇,ㄗㄜˊ,,,,,
509,擂,ㄌㄟˊ,,,,,
510,操,ㄘㄠ,,,,,
511,擔,ㄉㄢ,ㄉㄢˋ,,,,
512,擰,ㄋ丨ㄥˇ,ㄋ丨ㄥˋ,,,,
513,擻,ㄙㄡˇ,,,,,
514,擷,ㄐ丨ㄝˊ ,,,,,
515,攘,ㄖㄤˊ,,,,,
516,攝,ㄋ丨ㄝˋ,ㄕㄜˋ,,,,
517,攜,ㄒ丨,,,,,
